NCT,Authors,Year,PMID
NCT03043872,Goldman JW et al (1),2020,33285097
NCT02991482,Popat S et al. ,2020,32976938
NCT02563002,Andre T et al.,2020,33264544
NCT02362594,Eggermont AMM et al,2020,32946353
NCT00636168,Eggermont AMM et al,2015,25840693
NCT01903993,Mazieres J et al,2020,33166718
NCT02008227,Mazieres J et al,2020,33166718
NCT02811861,Motzer R et al,2021,33616314
NCT03215706,Paz-Ares L et al,2021,33476593
NCT02481830,Spigel DR et al,2021,33539946
NCT03141177,Choueiri TK et al,2021,33657295
NCT02538666,Owonikoko TK et al,2021,33683919
NCT02538666,Owonikoko TK et al,2021,33683919
NCT02299999,Bachelot T et al,2021,33462450
NCT02684292,Kuruvilla J et al,2021,33721562
NCT02450331,Bellmunt J et al,2021,33721560
NCT02555657,Winer PE et al,2021,33676601
NCT03088540,Sezer A et al,2021,33581821
NCT02852083,Heudobler D et al,2021,33796020
NCT02952586,Lee NY et al,2021,33794205
NCT02743494,Kelly RJ,2021,33789008
NCT02999087,Tao Y et al.,2021,33125944
