nct,author,year,pubmed_id,trial_name,ici_class,cancer_type
NCT02362594,Eggermont AMM et al,2018,29658430,EORTC 1325-MG/KEYNOTE-054,PD1,Melanoma
NCT01721746,Larkin J et al,2018,28671856,CheckMate 037,PD1,Melanoma
NCT02130466,Ascierto PA et al,2019,31171878,KEYNOTE-022,PD1,Melanoma
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066,PD1,Melanoma
NCT02523313,Zimmer L et al,2020,32416781,IMMUNED,PD1,Melanoma
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,PD1,Melanoma
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022,PD1,Melanoma
NCT02362594,Eggermont AMM et al,2020,32946353,EORTC 1325-MG/KEYNOTE-054,PD1,Melanoma
